Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"IFNAR2","Interferon Alpha And Beta Receptor Subunit 2","Protein Coding","49","GC21P033229","5.4988431930542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNAR2"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","50","GC12M006328","5.45918989181519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"IL10","Interleukin 10","Protein Coding","48","GC01M206767","5.1587700843811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","49","GC07M005973","5.15388536453247","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMS2"
"CHAT","Choline O-Acetyltransferase","Protein Coding","48","GC10P049609","5.15388536453247","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAT"
"MTM1","Myotubularin 1","Protein Coding","45","GC0XP150562","5.15388536453247","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTM1"
"CLCN6","Chloride Voltage-Gated Channel 6","Protein Coding","43","GC01P011806","5.15388536453247","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCN6"
"INPP5E","Inositol Polyphosphate-5-Phosphatase E","Protein Coding","42","GC09M136428","5.15388536453247","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5E"
"SLC6A20","Solute Carrier Family 6 Member 20","Protein Coding","42","GC03M045755","5.13971996307373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A20"
"HLA-C","Major Histocompatibility Complex, Class I, C","Protein Coding","45","GC06M046831","5.0634241104126","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-C"
"LOC117134593","ACE2 Promoter Region","Biological Region","1","GC0XP015600","4.90501022338867","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134593"
"CXCR6","C-X-C Motif Chemokine Receptor 6","Protein Coding","41","GC03P045982","4.54202938079834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR6"
"FURIN","Furin, Paired Basic Amino Acid Cleaving Enzyme","Protein Coding","47","GC15P090868","4.51940298080444","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FURIN"
"MUC1","Mucin 1, Cell Surface Associated","Protein Coding","47","GC01M155185","4.51675319671631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1"
"TNFRSF1B","TNF Receptor Superfamily Member 1B","Protein Coding","48","GC01P012167","4.45591163635254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1B"
"TBK1","TANK Binding Kinase 1","Protein Coding","50","GC12P064451","4.4390721321106","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBK1"
"CCR9","C-C Motif Chemokine Receptor 9","Protein Coding","41","GC03P045903","4.24458312988281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR9"
"TLR3","Toll Like Receptor 3","Protein Coding","52","GC04P186059","4.18134212493896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR3"
"BSG","Basigin (Ok Blood Group)","Protein Coding","44","GC19P000571","4.14982271194458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG"
"LOC117134604","TMPRSS2 Promoter Region","Biological Region","1","GC21P041507","4.1349310874939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134604"
"FYCO1","FYVE And Coiled-Coil Domain Autophagy Adaptor 1","Protein Coding","41","GC03M045917","4.11944246292114","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FYCO1"
"LOC117134608","TMPRSS2 Androgen Receptor-Responsive -13 Kb Enhancer","Biological Region","1","GC21P041519","4.07875061035156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134608"
"LOC117135106","TMPRSS2 Androgen Receptor-Responsive -60 Kb Enhancer","Biological Region","1","GC21P041568","4.07875061035156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117135106"
"LOC112679198","ABO +5.8 Intron 1 Enhancer","Biological Region","1","GC09P133267","3.99672102928162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC112679198"
"LOC119086083","CCR9 Promoter Region","Biological Region","1","GC03P045885","3.99672102928162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC119086083"
"IL17A","Interleukin 17A","Protein Coding","43","GC06P052186","3.99437165260315","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"IRF3","Interferon Regulatory Factor 3","Protein Coding","47","GC19M049659","3.97982621192932","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF3"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","46","GC06M046832","3.86422252655029","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"CTSL","Cathepsin L","Protein Coding","46","GC09P087725","3.84041380882263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSL"
"SERPINA1","Serpin Family A Member 1","Protein Coding","50","GC14M094376","3.82678413391113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA1"
"IFNAR1","Interferon Alpha And Beta Receptor Subunit 1","Protein Coding","45","GC21P033324","3.81056427955627","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNAR1"
"TLR7","Toll Like Receptor 7","Protein Coding","48","GC0XP012867","3.80016446113586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR7"
"ADM","Adrenomedullin","Protein Coding","45","GC11P010304","3.73132085800171","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM"
"HMOX1","Heme Oxygenase 1","Protein Coding","53","GC22P035380","3.72351932525635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"AGT","Angiotensinogen","Protein Coding","50","GC01M230702","3.66318917274475","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT"
"RPL36","Ribosomal Protein L36","Protein Coding","40","GC19P005674","3.65720677375793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36"
"XCR1","X-C Motif Chemokine Receptor 1","Protein Coding","40","GC03M046016","3.646892786026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XCR1"
"LZTFL1","Leucine Zipper Transcription Factor Like 1","Protein Coding","40","GC03M045823","3.646892786026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTFL1"
"IL7","Interleukin 7","Protein Coding","43","GC08M078689","3.64223051071167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7"
"IFNG","Interferon Gamma","Protein Coding","48","GC12M068154","3.60797548294067","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"OAS1","2'-5'-Oligoadenylate Synthetase 1","Protein Coding","46","GC12P112911","3.58669376373291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAS1"
"PRF1","Perforin 1","Protein Coding","45","GC10M070597","3.52445578575134","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRF1"
"LOC117134605","TMPRSS2 Repressive Element NBS1","Biological Region","1","GC21P041510","3.48105978965759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134605"
"LOC117134606","TMPRSS2 Repressive Element NBS2","Biological Region","1","GC21P041511","3.48105978965759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134606"
"LOC117135105","TMPRSS2 E4 Enhancer","Biological Region","1","GC21P041535","3.48105978965759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117135105"
"LOC117134611","TMPRSS2 -17 Kb Enhancer","Biological Region","1","GC21P041525","3.48105978965759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134611"
"LOC117135104","TMPRSS2 E3 Enhancer","Biological Region","1","GC21P041529","3.48105978965759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117135104"
"LOC117134607","TMPRSS2 Repressive Element NBS4","Biological Region","1","GC21P041518","3.48105978965759","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117134607"
"AAK1","AP2 Associated Kinase 1","Protein Coding","41","GC02M069459","3.47284507751465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAK1"
"CD209","CD209 Molecule","Protein Coding","43","GC19M007739","3.28259778022766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD209"
"IFITM3","Interferon Induced Transmembrane Protein 3","Protein Coding","41","GC11M000319","3.21956396102905","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFITM3"
"ALB","Albumin","Protein Coding","50","GC04P073397","3.17848181724548","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"HSPA5","Heat Shock Protein Family A (Hsp70) Member 5","Protein Coding","48","GC09M125234","3.09337520599365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA5"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","53","GC17M042313","3.09218955039978","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"IL18","Interleukin 18","Protein Coding","44","GC11M112143","3.05571794509888","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"SLC6A19","Solute Carrier Family 6 Member 19","Protein Coding","45","GC05P001201","3.04623484611511","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A19"
"MAS1","MAS1 Proto-Oncogene, G Protein-Coupled Receptor","Protein Coding","40","GC06P159906","2.96231055259705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAS1"
"S100A8","S100 Calcium Binding Protein A8","Protein Coding","43","GC01M153391","2.95806407928467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8"
"S100A9","S100 Calcium Binding Protein A9","Protein Coding","43","GC01P153357","2.95806407928467","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A9"
"HMGB1","High Mobility Group Box 1","Protein Coding","45","GC13M030456","2.93578004837036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1"
"LOC118966792","DACE2 Interferon-Inducible Promoter Region","Biological Region","1","GC0XP015580","2.90553760528564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC118966792"
"STING1","Stimulator Of Interferon Response CGAMP Interactor 1","Protein Coding","34","GC05M139476","2.87099409103394","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STING1"
"LOC117600004","CTSL Promoter Region","Biological Region","1","GC09P087724","2.86123991012573","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117600004"
"CD8A","CD8a Molecule","Protein Coding","47","GC02M086784","2.85831594467163","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A"
"ADAMTS13","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13","Protein Coding","47","GC09P133414","2.85514760017395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS13"
"MMP3","Matrix Metallopeptidase 3","Protein Coding","51","GC11M102835","2.83398509025574","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3"
"IRF7","Interferon Regulatory Factor 7","Protein Coding","47","GC11M000612","2.80728602409363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF7"
"KNG1","Kininogen 1","Protein Coding","45","GC03P186717","2.79962038993835","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNG1"
"SERPINC1","Serpin Family C Member 1","Protein Coding","49","GC01M174251","2.7935585975647","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINC1"
"ANGPT2","Angiopoietin 2","Protein Coding","46","GC08M006499","2.72584342956543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT2"
"PTX3","Pentraxin 3","Protein Coding","43","GC03P157436","2.72584342956543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTX3"
"GPT","Glutamic--Pyruvic Transaminase","Protein Coding","43","GC08P144502","2.7249960899353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT"
"TYK2","Tyrosine Kinase 2","Protein Coding","53","GC19M010350","2.69155693054199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYK2"
"OAS3","2'-5'-Oligoadenylate Synthetase 3","Protein Coding","41","GC12P112938","2.69155693054199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAS3"
"C5","Complement C5","Protein Coding","47","GC09M120952","2.69146823883057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C5"
"C5AR1","Complement C5a Receptor 1","Protein Coding","44","GC19P047290","2.69146823883057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C5AR1"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","49","GC06P043770","2.68490695953369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"CLEC4M","C-Type Lectin Domain Family 4 Member M","Protein Coding","41","GC19P007763","2.68490695953369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC4M"
"CALCA","Calcitonin Related Polypeptide Alpha","Protein Coding","43","GC11M014945","2.66587781906128","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA"
"TTR","Transthyretin","Protein Coding","50","GC18P031557","2.63844227790833","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR"
"DDX58","DExD/H-Box Helicase 58","Protein Coding","47","GC09M032455","2.60740208625793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX58"
"AGTR2","Angiotensin II Receptor Type 2","Protein Coding","44","GC0XP116170","2.59528565406799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR2"
"IL1A","Interleukin 1 Alpha","Protein Coding","44","GC02M112773","2.58332657814026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A"
"CXCL1","C-X-C Motif Chemokine Ligand 1","Protein Coding","43","GC04P073869","2.58332657814026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL1"
"CXCL2","C-X-C Motif Chemokine Ligand 2","Protein Coding","41","GC04M074097","2.58332657814026","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL2"
"NEU1","Neuraminidase 1","Protein Coding","45","GC06M031857","2.51607179641724","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEU1"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","51","GC10P088969","2.51149821281433","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"REN","Renin","Protein Coding","48","GC01M204154","2.51149821281433","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"PLAUR","Plasminogen Activator, Urokinase Receptor","Protein Coding","45","GC19M043646","2.50735139846802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAUR"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","48","GC14P061695","2.4778048992157","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"ENPEP","Glutamyl Aminopeptidase","Protein Coding","45","GC04P110365","2.44674110412598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPEP"
"IL6R","Interleukin 6 Receptor","Protein Coding","50","GC01P154405","2.44623112678528","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6R"
"AR","Androgen Receptor","Protein Coding","53","GC0XP067544","2.4283971786499","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"CCHCR1","Coiled-Coil Alpha-Helical Rod Protein 1","Protein Coding","38","GC06M046823","2.34214973449707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCHCR1"
"TNNT2","Troponin T2, Cardiac Type","Protein Coding","50","GC01M201359","2.34099626541138","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNT2"
"MUC5AC","Mucin 5AC, Oligomeric Mucus/Gel-Forming","Protein Coding","39","GC11P001151","2.33808946609497","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC5AC"
"MAVS","Mitochondrial Antiviral Signaling Protein","Protein Coding","41","GC20P003850","2.30704927444458","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAVS"
"TLR2","Toll Like Receptor 2","Protein Coding","52","GC04P153684","2.26919269561768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2"
"SIGMAR1","Sigma Non-Opioid Intracellular Receptor 1","Protein Coding","48","GC09M034634","2.23256778717041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIGMAR1"
"F11","Coagulation Factor XI","Protein Coding","46","GC04P186265","2.1799578666687","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F11"
"CCL5","C-C Motif Chemokine Ligand 5","Protein Coding","44","GC17M035871","2.13246512413025","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5"
"GZMA","Granzyme A","Protein Coding","43","GC05P055102","2.07101106643677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GZMA"
"CD14","CD14 Molecule","Protein Coding","45","GC05M140631","2.04244661331177","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD14"
"NCAM1","Neural Cell Adhesion Molecule 1","Protein Coding","47","GC11P112961","2.03810691833496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAM1"
"LOC119266102","IFNGR2 Promoter Region","Biological Region","1","GC21P033403","2.03810691833496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC119266102"
"LOC117693187","CTSL 3' Regulatory Element","Biological Region","1","GC09P087731","2.03810691833496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117693187"
"LOC117152610","DPP4 Promoter Region","Biological Region","1","GC02P162076","2.03810691833496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117152610"
"LOC117152611","DPP4 -4.2 Kb Glucocorticoid Response Element","Biological Region","1","GC02P162078","2.03810691833496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117152611"
"LOC117204000","ANPEP Distal Promoter","Biological Region","1","GC15P089814","2.03810691833496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117204000"
"LOC117204001","ANPEP Proximal Promoter","Biological Region","1","GC15P089806","2.03810691833496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC117204001"
"LOC119230225","IFNAR1 Promoter Region","Biological Region","1","GC21P033323","2.03810691833496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC119230225"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","52","GC19M041301","2.03697752952576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"LGALS3","Galectin 3","Protein Coding","45","GC14P055124","1.96317911148071","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS3"
"APOE","Apolipoprotein E","Protein Coding","51","GC19P044906","1.95903217792511","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"AHR","Aryl Hydrocarbon Receptor","Protein Coding","49","GC07P016916","1.91256737709045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHR"
"TICAM1","Toll Like Receptor Adaptor Molecule 1","Protein Coding","45","GC19M004815","1.912149310112","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TICAM1"
"FTL","Ferritin Light Chain","Protein Coding","48","GC19P048965","1.9017493724823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTL"
"MAF","MAF BZIP Transcription Factor","Protein Coding","45","GC16M079204","1.9017493724823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAF"
"HAVCR2","Hepatitis A Virus Cellular Receptor 2","Protein Coding","44","GC05M157063","1.9017493724823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAVCR2"
"MAFB","MAF BZIP Transcription Factor B","Protein Coding","44","GC20M040685","1.9017493724823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAFB"
"PSMD1","Proteasome 26S Subunit, Non-ATPase 1","Protein Coding","40","GC02P231056","1.9017493724823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD1"
"LAG3","Lymphocyte Activating 3","Protein Coding","37","GC12P011853","1.9017493724823","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAG3"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","50","GC01M058780","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"MYD88","MYD88 Innate Immune Signal Transduction Adaptor","Protein Coding","50","GC03P038139","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYD88"
"F2","Coagulation Factor II, Thrombin","Protein Coding","49","GC11P046720","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"MBL2","Mannose Binding Lectin 2","Protein Coding","48","GC10M052760","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2"
"FGA","Fibrinogen Alpha Chain","Protein Coding","48","GC04M154583","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGA"
"TLR8","Toll Like Receptor 8","Protein Coding","48","GC0XP012924","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR8"
"STAT2","Signal Transducer And Activator Of Transcription 2","Protein Coding","48","GC12M056341","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT2"
"ISG15","ISG15 Ubiquitin Like Modifier","Protein Coding","47","GC01P001001","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISG15"
"IKBKE","Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Epsilon","Protein Coding","46","GC01P206470","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKE"
"EIF2AK2","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 2","Protein Coding","46","GC02M037099","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK2"
"IRF9","Interferon Regulatory Factor 9","Protein Coding","45","GC14P024161","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF9"
"IL2","Interleukin 2","Protein Coding","45","GC04M122451","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"MX1","MX Dynamin Like GTPase 1","Protein Coding","43","GC21P041420","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MX1"
"CSF3","Colony Stimulating Factor 3","Protein Coding","40","GC17P040015","1.89841508865356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","52","GC07P150990","1.86771583557129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"VKORC1","Vitamin K Epoxide Reductase Complex Subunit 1","Protein Coding","47","GC16M031116","1.86771583557129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VKORC1"
"APOL1","Apolipoprotein L1","Protein Coding","43","GC22P036253","1.86771583557129","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL1"
