Drug,Accession,CID
Arsentrioxide,P05231,14888
CHEMBL386361,O14786,15984054
CHEMBL215821,O14786,44415322
CHEMBL215831,O14786,44415329
CHEMBL215902,O14786,44415323
CHEMBL387002,O14786,44415146
CHEMBL387255,O14786,44415328
CHEMBL215962,O14786,44415051
CHEMBL213245,O14786,44415069
CHEMBL214248,O14786,44415135
CHEMBL1078974,O14786,44631827
CHEMBL377214,O14786,44415070
CHEMBL438268,O14786,44415321
CHEMBL384861,O14786,44415050
CHEMBL425427,O14786,44415287
CHEMBL384737,O14786,44415303
CHEMBL386808,O14786,44415134
CHEMBL411137,O14786,44415123
CHEMBL540714,O14786,44415264
CHEMBL215838,O14786,44415286
CHEMBL211967,O14786,44415265
CHEMBL379106,O14786,44415243
CHEMBL213325,O14786,44415244
CHEMBL1079082,O14786,45139620
CHEMBL212539,O14786,44415230
CHEMBL215998,O14786,44415122
CHEMBL377450,O14786,44415229
CHEMBL1078797,O14786,24815654
CHEMBL213376,O14786,44415204
CHEMBL379832,O14786,44415203
CHEMBL1079081,O14786,45139619
CHEMBL211986,O14786,44415198
CHEMBL377006,O14786,44415199
CHEMBL1085195,O14786,24765913
CHEMBL377657,O14786,44415108
CHEMBL1078850,O14786,24815567
CHEMBL427044,O14786,44415171
CHEMBL1091089,O14786,15858500
CHEMBL1078851,O14786,24815655
CHEMBL1079064,O14786,45139618
CHEMBL1077253,O14786,46881768
CHEMBL1088744,O14786,24815653
CHEMBL1095672,O14786,9854089
CHEMBL379360,O14786,44415107
CHEMBL215632,O14786,44415168
CHEMBL379579,O14786,44415228
CHEMBL1090056,O14786,46881769
CHEMBL1078973,O14786,24815656
CHEMBL386641,O14786,44415285
CHEMBL212851,O14786,44415085
CHEMBL379547,O14786,44415084
CHEMBL1079279,O14786,24815571
CHEMBL213321,O14786,44415068
CHEMBL436932,O14786,44415067
CHEMBL212560,O14786,44415284
CHEMBL425440,O14786,44415045
CHEMBL1098234,O14786,46888232
CHEMBL214266,O14786,44415160
()-oxazepam hemisuccinate sodium salt,O14786,16156047
Sitagliptan,P27487,4369359
Mannose,P27487,185698
FUCOSE,P27487,439554
Diisopropylphosphonate,P27487,6327350
Aminomethylpyrimidine 1e,P27487,448436
2-AMINO-3-METHYL-1-PYRROLIDIN-1-YL-BUTAN-1-ONE,P27487,447256
CHEMBL237119,P27487,10250452
CHEMBL237336,P27487,9884543
CHEMBL186877,P27487,44394157
Talabostat,P27487,6918572
CHEMBL194717,P27487,9821205
CHEMBL370046,P27487,11163434
CHEMBL389719,P27487,44422917
CHEBI:519528,P27487,24776939
CHEMBL370540,P27487,10109454
CHEMBL371143,P27487,44400485
CHEMBL332123,P27487,11383107
Aminomethylpyrimidine 1ck,P27487,10126186
Aminomethylpyrimidine 1cj,P27487,10286977
CHEMBL195420,P27487,44400445
CHEMBL433811,P27487,44400473
Diazepanone Analog 26,P27487,23646452
CHEBI:408926,P27487,44394363
CHEMBL305170,P27487,9942554
CHEMBL195189,P27487,10798659
CHEBI:649971,P27487,44445056
CHEBI:649980,P27487,44445062
CHEMBL195063,P27487,44400447
CHEMBL564249,P27487,42608447
CHEBI:649989,P27487,44445066
CHEBI:653328,P27487,44445054
CHEBI:653354,P27487,44445059
CHEMBL98869,P27487,11232124
CHEBI:409114,P27487,44394470
CHEMBL445949,P27487,44590735
Diazepanone Analog 25,P27487,23646451
CHEMBL591279,P27487,46229811
CHEMBL116373,P27487,44345868
CHEMBL195335,P27487,44400625
CHEMBL461117,P27487,9859384
CHEMBL512651,P27487,44590183
CHEBI:653326,P27487,44445052
CHEMBL233564,P27487,15949418
CHEMBL504021,P27487,44590185
CHEMBL196120,P27487,44403412
CHEBI:409117,P27487,44394476
CHEMBL365322,P27487,25132160
Aminomethylpyrimidine 1cb,P27487,10172375
Diazepanone Analog 24,P27487,23646450
CHEMBL399610,P27487,16739329
CHEMBL241253,P27487,44439353
Linagliptin,P27487,10096344
CHEMBL566425,P27487,45487920
CHEMBL237289,P27487,10006926
CHEMBL471834,P27487,44590129
CHEMBL227780,P27487,44422920
CHEMBL564105,P27487,45273603
CHEMBL399791,P27487,44443363
CHEMBL488207,P27487,16662696
CHEMBL1215018,P27487,46899595
CHEMBL241464,P27487,44439354
CHEMBL598470,P27487,46231493
CHEBI:485315,P27487,44426573
CHEMBL554908,P27487,45271796
CHEMBL429115,P27487,24755210
CHEMBL238515,P27487,44439341
CHEMBL77538,P27487,9796290
thiazolopiperidine 76,P27487,9983092
7-methyl diazepanone 15d,P27487,11236208
CHEMBL371585,P27487,44400462
CHEMBL558452,P27487,45272682
CHEMBL241252,P27487,44439350
CHEMBL487860,P27487,11703749
CHEMBL237152,P27487,11505454
CHEBI:649990,P27487,44445046
[1-[(2S)-2-aminopropanoyl]pyrrolidin-2-yl]boronic Acid,P27487,10149048
CHEMBL391466,P27487,44439337
CHEBI:409199,P27487,44394548
CHEMBL399405,P27487,44439348
CHEBI:409115,P27487,44394472
CHEBI:409198,P27487,44394546
CHEMBL210995,P27487,16223560
CHEMBL601937,P27487,46229812
CHEMBL1215088,P27487,46899597
CHEMBL232103,P27487,11288538
CHEBI:409112,P27487,44394466
CHEMBL1288231,P27487,52946148
CHEMBL194993,P27487,44400555
CHEMBL469317,P27487,44590184
CHEMBL96666,P27487,9815545
CHEBI:657181,P27487,25265711
CHEBI:485312,P27487,44426568
CHEMBL566628,P27487,45487946
CHEMBL493543,P27487,44572719
CHEMBL563849,P27487,45268417
CHEMBL307636,P27487,11075394
CHEMBL565600,P27487,45487917
CHEMBL391089,P27487,24750279
DPP-4 ligand 1,P27487,23647134
CHEMBL250147,P27487,44444386
CHEBI:577155,P27487,44572783
CHEMBL565633,P27487,45487888
CHEMBL565813,P27487,45487903
CHEMBL400068,P27487,44444391
biaryl phenylalanine deriv. 50,P27487,23645519
CHEMBL563901,P27487,45270959
CHEMBL459807,P27487,25017799
CHEMBL565101,P27487,45272664
CHEMBL238516,P27487,44439343
CHEMBL237566,P27487,11495704
CHEMBL67089,P27487,10607286
CHEMBL1214876,P27487,11559922
CHEMBL93208,P27487,44325719
2-cyanopyrrolidine 21ao,P27487,11418781
CHEMBL239356,P27487,44439344
CHEMBL248599,P27487,44443346
CHEMBL521224,P27487,44560252
CHEMBL242492,P27487,44429122
CHEMBL232311,P27487,44429610
CHEMBL390221,P27487,44429132
CHEMBL237783,P27487,11518007
CHEMBL239565,P27487,44439347
Diazepanone Analog 1,P27487,11592154
CHEMBL470477,P27487,44560173
CID 11439799,P27487,11222126
CHEMBL140577,P27487,44360787
2-cyanopyrrolidine 21aj,P27487,11314959
CHEMBL558647,P27487,45272683
Biarylphenylalanine Amide 30,P27487,23645405
CHEMBL552069,P27487,45270958
CHEMBL500008,P27487,44560251
CHEMBL470356,P27487,44590037
CHEMBL395854,P27487,44439345
Vildagliptin,P27487,11077541
7-methyl diazepanone 15e,P27487,11270889
CHEBI:649996,P27487,44445050
CHEMBL487680,P27487,44560250
CHEMBL488036,P27487,44560265
2-cyanopyrrolidine 10a,P27487,18391459
CHEMBL512726,P27487,44560158
CHEMBL242987,P27487,44429120
CHEMBL1215087,P27487,46899596
CHEMBL93060,P27487,44325514
Aminomethylpyrimidine 1d,P27487,10172706
CHEMBL241246,P27487,44439340
Xiliarx,P27487,6918537
CHEMBL192882,P27487,44400504
CHEMBL302602,P27487,10819459
CHEMBL566672,P27487,45487894
Amide Analogue 48,P27487,11129932
Saxagliptin,P27487,11243969
CID 10367502,P27487,10367502
CHEMBL399348,P27487,44443421
CHEMBL400532,P27487,44443357
3-(S)-fluoropyrrolidide 44,P27487,23645674
CHEMBL237067,P27487,24750278
CHEMBL566829,P27487,45101723
CHEMBL239564,P27487,44439346
CHEMBL451937,P27487,44560185
CHEMBL470476,P27487,44560172
CHEMBL469659,P27487,44560186
CHEMBL399525,P27487,44443347
CHEMBL562072,P27487,45267527
CHEMBL248793,P27487,44443348
CHEMBL513725,P27487,10107122
CHEMBL243799,P27487,44429133
amide-changed phenylalanine deriv. 43,P27487,23645505
CHEMBL470357,P27487,44590038
CHEMBL470681,P27487,44560174
CHEMBL242985,P27487,44429117
CHEMBL249408,P27487,44443358
CHEMBL396512,P27487,44429127
CHEMBL550114,P27487,45271803
CHEMBL245069,P27487,44429116
CHEMBL391559,P27487,44429613
CHEMBL563244,P27487,45273573
CHEMBL400533,P27487,44443359
CHEMBL1215164,P27487,46899755
Saxagliptin,P27487,23645676
CHEBI:618213,P27487,44590597
2-cyanopyrrolidine 21k,P27487,11314348
CHEMBL438520,P27487,44443349
CID 11199769,P27487,11211119
CHEMBL470164,P27487,25110685
2-cyanopyrrolidine 21aq,P27487,11292861
CHEBI:409093,P27487,44394451
CID 11360810,P27487,11360810
CHEMBL558322,P27487,45273602
CHEMBL395919,P27487,44429602
CHEMBL250620,P27487,44443366
2-cyanopyrrolidine 21ah,P27487,11281626
2-cyanopyrrolidine 21as,P27487,11692537
CHEMBL243798,P27487,44429131
CHEMBL549296,P27487,45271794
2-cyanopyrrolidine 21ak,P27487,11199808
2-cyanopyrrolidine 21an,P27487,11487883
CID 11361846,P27487,11268786
CHEMBL567727,P27487,45487898
CHEMBL237287,P27487,24749926
CHEMBL401304,P27487,44444371
CHEMBL234373,P27487,44429620
CHEMBL186566,P27487,44396153
CHEMBL391070,P27487,44431775
CHEMBL250351,P27487,44444390
CHEMBL585129,P27487,45487904
CHEMBL429450,P27487,24749925
S14,P27487,10320144
CHEMBL425483,P27487,9799867
CHEMBL375508,P27487,16658104
CHEMBL552127,P27487,45271791
CHEMBL566616,P27487,45487908
"phenylalanine derived inhibitor, 5",P27487,23647693
CHEMBL484528,P27487,44138030
CHEMBL250999,P27487,44444373
CHEMBL1215236,P27487,46899941
Biarylphenylalanine (S)-Fluoropyrrolidide Amide 22,P27487,23645397
CHEMBL391577,P27487,44439334
CHEMBL511785,P27487,44560184
CHEMBL388828,P27487,44422915
CHEBI:657223,P27487,45268442
2-cyanopyrrolidine 21n,P27487,11404881
2-cyanopyrrolidine 21ar,P27487,11180149
CHEMBL459357,P27487,44590696
CHEBI:649979,P27487,44445030
CHEMBL415647,P27487,44429625
Biarylphenylalanine (S)-Fluoropyrrolidide Amide 23,P27487,23645398
CHEMBL391578,P27487,44439338
CHEMBL232316,P27487,44429614
CHEMBL391558,P27487,44429609
CHEMBL488418,P27487,44560254
CHEMBL194852,P27487,44403360
CHEMBL472096,P27487,9865779
CHEMBL237151,P27487,11674721
CHEMBL195804,P27487,44400574
CHEMBL316560,P27487,44325533
CHEMBL429482,P27487,44443364
2-cyanopyrrolidine 21ag,P27487,11406276
CHEMBL557723,P27487,45273594
CHEMBL514011,P27487,44565872
CHEMBL238191,P27487,11554165
CHEMBL388111,P27487,16126742
CHEMBL400615,P27487,44429626
CHEMBL413797,P27487,44429138
CHEMBL234163,P27487,11448828
CHEMBL400613,P27487,44429622
2-cyanopyrrolidine 21i,P27487,11232890
CHEMBL250353,P27487,10254918
CHEBI:653336,P27487,44445038
CHEMBL1082462,P27487,44201003
CHEMBL236508,P27487,23647107
CHEMBL94101,P27487,10132708
CHEBI:485317,P27487,44426576
CHEBI:577365,P27487,44572979
CHEMBL365000,P27487,24750044
CHEBI:485310,P27487,44426566
CHEBI:577156,P27487,44572784
CHEMBL227676,P27487,16658102
CHEMBL227464,P27487,16658022
alpha-amino ketone deriv. 12,P27487,16725905
CHEMBL389074,P27487,16658023
CHEMBL567279,P27487,45487931
CHEBI:409094,P27487,44394453
CHEMBL475586,P27487,11596607
CHEMBL474410,P27487,44565871
Biarylphenylalanine Amide 31,P27487,23645406
CHEMBL1215301,P27487,46900104
CHEMBL1215089,P27487,46899752
Saxagliptin Analogue 23,P27487,11223700
CHEMBL233563,P27487,15949507
CHEMBL469660,P27487,44560188
CHEMBL248794,P27487,44443350
Biarylphenylalanine (S)-Fluoropyrrolidide Amide 24,P27487,23645399
CHEMBL249602,P27487,44443361
CHEMBL389324,P27487,44429140
CHEMBL400338,P27487,44443351
CHEMBL488419,P27487,44560255
CHEMBL564488,P27487,45267531
2-cyanopyrrolidine 21ae,P27487,11268930
CHEMBL249601,P27487,44443360
CHEMBL539939,P27487,44400535
CHEMBL395606,P27487,44439342
CHEMBL474409,P27487,44565870
CHEMBL233127,P27487,11187292
CHEMBL428369,P27487,11173801
CHEMBL559602,P27487,45269276
CHEMBL437570,P27487,44429119
CHEMBL434960,P27487,44429616
CHEMBL519585,P27487,44560266
CHEBI:649988,P27487,44445041
CHEMBL250285,P27487,10324641
CHEMBL487861,P27487,44560267
CHEMBL475574,P27487,11538715
CHEMBL223914,P27487,44422443
CHEMBL1215016,P27487,46899593
2-cyanopyrrolidine 1,P27487,23645685
CHEMBL480903,P27487,10296151
2-cyanopyrrolidine 21ai,P27487,11452943
ABT-279,P27487,16049769
CHEMBL557860,P27487,45272672
CHEBI:576059,P27487,44572139
CHEMBL237488,P27487,24749924
CHEBI:485320,P27487,44426579
CHEMBL393498,P27487,44429619
CHEBI:577363,P27487,44572975
CHEBI:485319,P27487,44426578
3-(S)-fluoropyrrolidide 43,P27487,23645672
CHEMBL557315,P27487,45273589
CHEMBL396513,P27487,44429129
CHEMBL471088,P27487,44560139
CHEMBL394165,P27487,11325183
Biarylphenylalanine Difluoropyrrolidide 32,P27487,23645408
CHEMBL456419,P27487,44590649
CHEMBL248795,P27487,44443352
CHEMBL234356,P27487,11218348
Biarylphenylalanine Amide 6a,P27487,23645407
CHEBI:649975,P27487,44445064
CHEMBL558323,P27487,45101722
CHEMBL556708,P27487,45273581
CHEMBL237786,P27487,24180585
CHEMBL228021,P27487,44422519
CHEMBL1215233,P27487,46899938
2-cyanopyrrolidine 21al,P27487,11486251
CHEMBL393957,P27487,11289695
CHEMBL223916,P27487,44422448
2iiv,P27487,10450114
1-substituted diazepanone 9e,P27487,23647118
CHEMBL192165,P27487,44400450
beta-substituted phenylalanine deriv. 18,P27487,23645464
CHEMBL392924,P27487,11523077
CHEMBL249203,P27487,44443353
CHEBI:658794,P27487,45269219
CHEMBL193168,P27487,44400547
CHEMBL241245,P27487,44439339
813452-18-5,P27487,11417567
CHEMBL550321,P27487,45271813
CHEBI:576060,P27487,44572141
CHEMBL567278,P27487,45487930
CHEMBL316627,P27487,10947008
CHEMBL363250,P27487,10130510
CHEBI:576278,P27487,44572227
CHEMBL400752,P27487,44444375
CHEBI:577364,P27487,44572977
CHEMBL94598,P27487,10111288
CHEBI:485303,P27487,44426554
CHEMBL122206,P27487,9801978
CHEMBL390512,P27487,44422444
CHEBI:485314,P27487,44426572
CHEMBL227800,P27487,44422514
CHEMBL549581,P27487,45270108
CHEMBL244010,P27487,44429139
CHEBI:409136,P27487,44394493
CHEBI:658787,P27487,45269212
Sitagliptin Analog 14,P27487,23646441
CHEMBL470893,P27487,44560138
CHEMBL475573,P27487,44565869
Biarylphenylalanine Difluoropyrrolidide 33,P27487,23645409
CHEMBL143590,P27487,44360697
amide-changed phenylalanine deriv. 38,P27487,23645496
23646151,P27487,23646151
CHEMBL1215448,P27487,46900259
C5-substituted pyrrolidine 41,P27487,16090856
CHEMBL232315,P27487,44429612
CHEMBL196933,P27487,44403422
CHEMBL559601,P27487,45269274
CHEMBL389138,P27487,44429124
CHEMBL472102,P27487,44560159
CHEMBL225493,P27487,44422419
CHEMBL563272,P27487,45273404
CHEMBL227670,P27487,16658103
CHEMBL77539,P27487,10969177
CHEMBL373269,P27487,44403405
CHEMBL1082346,P27487,46871722
CHEMBL460842,P27487,44590734
alpha-amino acid pyrrolidide 27,P27487,23645704
CHEBI:658913,P27487,45269287
CHEBI:576432,P27487,44572336
Biarylphenylalanine (S)-Fluoropyrrolidide Amide 20,P27487,23645395
CHEBI:485313,P27487,44426570
CHEMBL561322,P27487,45268233
CHEMBL391307,P27487,44434115
DPP-4 ligand 2,P27487,23647135
CHEBI:576351,P27487,44572278
CHEBI:485316,P27487,44426574
1-substituted diazepanone 9i,P27487,23647122
Biarylphenylalanine (S)-Fluoropyrrolidide Amide 25,P27487,23645400
2-cyanopyrrolidine 21am,P27487,11429829
Saxagliptin Analogue 8e,P27487,11222934
CHEMBL1215376,P27487,46900258
CHEMBL239984,P27487,44439336
CHEMBL515597,P27487,44565845
CHEMBL487681,P27487,44560253
CHEBI:409116,P27487,44394474
CHEMBL243800,P27487,44429134
CHEMBL552068,P27487,45270905
CHEMBL454193,P27487,44560187
CHEMBL400614,P27487,44429623
CHEMBL250284,P27487,10255762
CHEMBL399726,P27487,44443354
Biarylphenylalanine (S)-Fluoropyrrolidide Amide 28,P27487,23645403
CHEBI:667726,P27487,45273519
CHEMBL471089,P27487,44560141
CHEMBL475246,P27487,44565844
CHEMBL469452,P27487,44560160
CHEMBL238507,P27487,44439333
CHEMBL1215375,P27487,46900108
2-cyanopyrrolidine 21ap,P27487,11269397
CHEMBL390418,P27487,44429136
1-substituted diazepanone 9d,P27487,23647117
CHEBI:576058,P27487,44572137
CHEBI:485321,P27487,44426581
CHEMBL563648,P27487,44250174
CHEMBL237288,P27487,24750281
CHEMBL324777,P27487,10405951
CHEMBL356568,P27487,44361216
CHEMBL1085269,P27487,24999327
amide-changed phenylalanine deriv. 41,P27487,23645501
CHEMBL245059,P27487,44429130
CHEMBL389848,P27487,44422518
beta-substituted phenylalanine deriv. 32,P27487,23645486
CID 11439799,P27487,11164254
Piperidine-Constrained Phenethylamine 47,P27487,16202919
2-cyanopyrrolidine 21l,P27487,11451461
2-cyanopyrrolidine 21af,P27487,11187940
CHEBI:409196,P27487,44394542
1-substituted diazepanone 9j,P27487,10318743
CHEMBL227737,P27487,44422513
6-methyl diazepanone 14a,P27487,11210511
CHEMBL191699,P27487,44400588
CHEMBL327187,P27487,44325734
CHEMBL549992,P27487,45270115
CHEMBL232571,P27487,44432938
CHEMBL232914,P27487,11471453
CHEBI:409092,P27487,44394449
CHEBI:576061,P27487,44572143
CHEMBL249406,P27487,44443355
CHEMBL92075,P27487,10861905
CHEMBL493544,P27487,44572720
CHEMBL140350,P27487,44361010
CHEMBL249407,P27487,44443356
ALOGLIPTIN TFA,P27487,16658243
Aminomethylpyrimidine 1c,P27487,11688776
CHEMBL584494,P27487,45487945
Alogliptin,P27487,11450633
CHEMBL1243372,P27487,52945660
CHEMBL474767,P27487,44565538
1-substituted diazepanone 9g,P27487,23647120
4-amino-5-(2-boronopyrrolidin-1-yl)-5-oxo-pentanoic Acid,P27487,11673176
Saxagliptin analogue 30,P27487,23645679
CHEMBL1215165,P27487,46899756
CHEMBL239983,P27487,44439335
CHEMBL240601,P27487,44439328
beta-substituted phenylalanine deriv. 28,P27487,23645480
CHEMBL389244,P27487,44422418
CHEMBL232716,P27487,44429624
CHEBI:576354,P27487,44572284
CHEBI:657082,P27487,45268352
CHEMBL590557,P27487,46216691
CHEMBL120118,P27487,44345516
CHEMBL584692,P27487,45487921
CHEMBL237972,P27487,11676224
7-methyl diazepanone 15f,P27487,23647130
[1-[(2S)-2-aminobutanoyl]pyrrolidin-2-yl]boronic Acid,P27487,10584166
CHEMBL497993,P27487,44580540
CHEMBL249945,P27487,44444383
CHEBI:649970,P27487,44445033
Gosogliptin (USAN/INN),P27487,11516136
Diazepanone Analog 17,P27487,23646444
1-substituted diazepanone 9b,P27487,23647115
Xanthine mimetic compound 7,P27487,16721117
2-cyanopyrrolidine 21ad,P27487,11395030
Xanthine Analogue 4,P27487,9800721
CHEMBL1215163,P27487,46899754
CHEMBL1215234,P27487,46899939
CHEBI:409149,P27487,44394504
CHEBI:655344,P27487,45267484
CHEMBL507254,P27487,22387295
CHEMBL392524,P27487,44433618
CHEBI:409200,P27487,44394550
CHEMBL277390,P27487,11803270
CHEMBL400722,P27487,44444377
"phenylalanine derived inhibitor, 3",P27487,23647691
CHEBI:649974,P27487,44445035
CHEMBL564283,P27487,45269275
CHEBI:485304,P27487,44426555
CHEMBL1288288,P27487,52948970
CHEMBL512890,P27487,44560154
CHEMBL512709,P27487,44589987
CHEMBL1083589,P27487,46891192
CHEMBL561120,P27487,45268229
CHEMBL427012,P27487,44403416
CHEBI:576502,P27487,44572393
CHEBI:576434,P27487,44572340
beta-dimethylamide 4,P27487,23645394
CHEMBL397893,P27487,44439332
Pyrrolidine-constrained phenethylamine 30,P27487,23647112
Saxagliptin analogue 28,P27487,23645677
CHEMBL199905,P27487,11595565
1-(2-amino-3-methyl-pentanoyl)pyrrolidine-2-carbonitrile,P27487,10176680
CHEMBL1214943,P27487,11546261
CHEMBL274249,P27487,44270927
CHEMBL1085333,P27487,44218404
biaryl phenylalanine deriv. 46,P27487,23645511
CHEMBL232919,P27487,11312331
alpha-amino acid pyrrolidide 38,P27487,23645722
Biarylphenylalanine (S)-Fluoropyrrolidide Amide 26,P27487,23645401
Biarylphenylalanine (S)-Fluoropyrrolidide Amide 21,P27487,23645396
CHEMBL169204,P27487,9823963
CID 11439799,P27487,11302841
CHEBI:409150,P27487,44394506
CHEMBL1083287,P27487,44182505
CHEMBL232920,P27487,11313182
CHEMBL601074,P27487,21919478
alpha-amino acid pyrrolidide 39,P27487,23645724
CHEMBL236705,P27487,23647106
CHEMBL96892,P27487,44327160
CHEBI:660724,P27487,45270131
CHEMBL227954,P27487,23647311
CHEBI:576573,P27487,44572444
CHEMBL400624,P27487,16747699
CHEMBL472027,P27487,44589986
CHEBI:546913,P27487,44560169
CHEMBL390529,P27487,16658101
CHEBI:485308,P27487,44426562
CHEMBL1288289,P27487,52943757
CHEMBL487862,P27487,44560268
thiazolopiperidine 75,P27487,10412922
CHEMBL474421,P27487,44565892
Piperidine-Constrained Phenethylamine 48,P27487,16203154
Piperidine-Constrained Phenethylamine 44,P27487,16202917
CHEMBL238506,P27487,44439331
CHEMBL389624,P27487,44422522
CHEMBL241674,P27487,44439326
CHEMBL228243,P27487,44422523
CHEMBL237343,P27487,44433224
CHEMBL1085074,P27487,44218554
CHEMBL564043,P27487,45269971
CHEMBL1083032,P27487,24999630
CHEMBL94693,P27487,11024849
CHEMBL404210,P27487,44444379
CHEBI:662532,P27487,45270966
CHEMBL235766,P27487,44266022
CHEBI:485291,P27487,44426537
CHEBI:576505,P27487,44572399
CHEMBL183207,P27487,10306170
CHEMBL236719,P27487,44433234
CHEBI:649984,P27487,44445023
CHEMBL1214877,P27487,46900261
2-cyanopyrrolidine 21p,P27487,11405378
CHEMBL330373,P27487,44327072
CHEMBL139892,P27487,44360955
CHEBI:576279,P27487,44572229
CHEMBL1082996,P27487,46891534
CHEMBL201644,P27487,10383508
CHEMBL399615,P27487,44432881
CHEBI:665909,P27487,45272623
CHEMBL562467,P27487,45267530
CHEMBL517776,P27487,42636924
CHEMBL186084,P27487,10022276
CHEMBL194428,P27487,44403361
CHEMBL228004,P27487,16658024
CHEMBL1085595,P27487,44218550
CHEMBL394932,P27487,11426348
CHEBI:658801,P27487,45269224
1-substituted diazepanone 9f,P27487,23647119
7-methyl diazepanone 15a,P27487,11417008
CHEMBL1215299,P27487,46899942
CHEMBL1215167,P27487,46899937
2-cyanopyrrolidine 21o,P27487,11705197
CHEMBL234158,P27487,44429603
CHEBI:576503,P27487,44572395
CHEBI:105875,P27487,44266144
CHEMBL244843,P27487,10086451
CHEBI:485323,P27487,44426583
CHEMBL567728,P27487,45102670
Diazepanone Analog 23,P27487,23646449
CHEMBL508845,P27487,44560156
CHEMBL237547,P27487,44433617
CHEMBL96459,P27487,44327071
CHEMBL1229855,P27487,16122596
CHEMBL227482,P27487,44422525
CHEMBL391211,P27487,11392988
CHEMBL1214942,P27487,11567606
CHEMBL232570,P27487,44432936
CHEMBL566419,P27487,45487915
CHEMBL226771,P27487,44422526
CHEBI:576280,P27487,44572231
CHEMBL139875,P27487,44361074
CHEBI:655466,P27487,45267551
CHEMBL96652,P27487,10958030
amide-changed phenylalanine deriv. 36,P27487,23645493
CHEMBL355916,P27487,44360977
CHEMBL584698,P27487,45487926
CHEMBL216835,P27487,11603996
CHEMBL462839,P27487,44565275
BPR,P27487,10198228
Piperidine-Constrained Phenethylamine 49,P27487,16202920
CHEMBL203618,P27487,23645902
C5-substituted pyrrolidine 40,P27487,16090844
CHEMBL459591,P27487,44590736
MK-0431,P27487,11476287
CHEMBL1085075,P27487,44218552
CHEMBL485123,P27487,44591848
CHEMBL1085552,P27487,46890914
CHEBI:666026,P27487,45272679
CHEBI:409135,P27487,44394491
CHEBI:409113,P27487,44394468
CHEMBL227356,P27487,23647314
CHEBI:652827,P27487,44388193
CHEMBL343749,P27487,44360785
CHEMBL92021,P27487,11089704
CHEMBL1214944,P27487,46900418
CHEMBL1215017,P27487,46899594
CHEMBL199614,P27487,23645376
CHEMBL225210,P27487,16040279
Pyrrolidine-constrained phenethylamine 29f,P27487,23647110
CHEMBL1215235,P27487,46899940
alpha-amino acid pyrrolidide 43,P27487,23645731
CHEMBL184636,P27487,44394073
alpha-amino acid pyrrolidide 35,P27487,23645716
CID 11291758,P27487,11211023
CHEMBL464092,P27487,44565238
CHEMBL227089,P27487,16658105
CHEBI:576352,P27487,44572280
CHEMBL525011,P27487,44592511
